sample,generated_power
0,16
1,16
2,16
3,16
4,16
5,16
6,16
7,88
8,253
9,507
10,921
11,1334
12,1504
13,1856
14,2592
15,3477
16,4671
17,5459
18,6329
19,7245
20,8266
21,9116
22,9411
23,9858
24,10467
25,11062
26,12134
27,12826
28,13397
29,13846
30,14224
31,14455
32,14554
33,14554
34,14403
35,14001
36,13540
37,13311
38,12698
39,12120
40,11248
41,10451
42,10262
43,10072
44,9835
45,9544
46,9004
47,8662
48,8332
49,8125
50,7928
51,7795
52,7725
53,7632
54,7531
55,7385
56,7274
57,7044
58,7040
59,6906
60,7269
61,7835
62,7979
63,7957
64,7866
65,7874
66,7913
67,7672
68,7502
69,7319
70,7209
71,7025
72,6896
73,6781
74,6511
75,6411
76,6022
77,5811
78,5509
79,5255
80,4823
81,4264
82,4024
83,3742
84,3306
85,2909
86,2226
87,1998
88,1811
89,1580
90,1140
91,845
92,765
93,668
94,609
95,457
96,336
97,265
98,265
99,233
100,108
101,16
102,16
103,16
104,16
105,16
106,16
